source_id,bp_rp,target_class,period
252595410453952384,1.921211,CEP,1.99948365756004
254137750389796224,2.012207,CEP,27.7792591633825
255746713858482048,1.865178,CEP,3.51515687661074
256735552768873856,2.763057,CEP,11.2791076195523
257429344607790336,2.927638,CEP,26.1106360057451
257639493066319744,2.668628,CEP,4.56081539367798
258412862056729472,2.363963,CEP,22.9659437325993
258545623786523904,2.654326,CEP,26.1763276655981
261548119462093568,1.39373,CEP,8.00229875260746
261927068718088832,1.382956,CEP,2.88339214913259
270272675510149504,1.776366,CEP,4.97260140769333
270528311964877568,2.77341,CEP,4.49316838948258
270661215433219968,2.296186,CEP,5.14666451419476
270841363539777280,2.113556,CEP,2.01442557500099
271861779051593856,2.019559,CEP,3.75944497447432
272137893907447168,2.208839,CEP,3.54253218485338
272444829450300160,1.806648,CEP,6.56971659215316
273618936069985408,2.522956,CEP,14.9672096336075
274764764629294208,2.3131,CEP,4.71632096450177
279382060625871360,1.329435,CEP,3.29486682849528
2928116120387181824,1.587402,CEP,4.84509625201431
2929903204735986304,1.479009,CEP,3.31317695182607
2930603731082999296,1.684501,CEP,5.45726137846152
2931247014102560000,1.663111,CEP,5.72962626745688
2932101334643047680,1.239472,CEP,2.5577768400094
2932737092877188352,1.176086,CEP,3.15618155215192
2934506447605426944,1.510103,CEP,4.20601350041698
2934712880912798464,1.953764,CEP,7.51228275398789
2936037173951564288,1.40647,CEP,3.69460317574994
2936110669428633216,1.62957,CEP,4.46331367198578
2936165984303583360,1.491977,CEP,3.5226311701698
2936274153063501824,1.492092,CEP,6.38871561704642
2944446479390897152,1.126875,CEP,114.247847475317
2947842664653933824,1.595947,CEP,3.69396183669748
2948568273607650560,1.728069,CEP,2.78170878027009
2949613084534085760,1.619123,CEP,3.86844814773708
2952257272558933248,1.400356,CEP,4.85924812648135
2952714394517032320,1.716494,CEP,4.63619826194919
3027495856819349248,1.727096,CEP,10.982515417005
3027837358256113792,2.214881,CEP,4.96044243894171
3027913155837731584,2.404197,CEP,5.64724594351527
3027940437469882880,1.354853,CEP,4.25535569261674
3029446630962736896,1.115283,CEP,6.76285825268404
3031419601502352768,1.534539,CEP,2.31153962617043
3031875585286182144,1.232201,CEP,6.99550828342418
3035408251728251520,1.220471,CEP,45.6268409122393
3039534959381036928,1.923056,CEP,81.102329769359
3044483895581000192,1.701288,CEP,4.6698214489972
3045720399486222720,2.527521,CEP,4.50661415078943
3046774762417915136,1.221569,CEP,4.67836893432049
3049028207194964224,2.225203,CEP,6.40214095245127
3050050207554658048,1.595457,CEP,8.01172849631846
3050543819559526912,1.876507,CEP,6.94563727522763
3052092481686246016,1.53893,CEP,3.28742361548376
3099066951319051008,1.539414,CEP,4.80893568466671
3102246837723495296,2.433867,CEP,10.2062487917328
3102535635624415872,1.868644,CEP,3.93777200914346
3102810199992768512,1.678914,CEP,2.10675744382295
3105860283909081728,1.61364,CEP,5.45638416605275
3106015688704277504,1.602974,CEP,3.95836871199983
3106349738382214144,1.484226,CEP,8.69968345729877
3106537239474115840,1.873926,CEP,2.95156122302885
3106642552072285952,1.649851,CEP,4.09665873734444
3106871280549395200,2.240863,CEP,15.6789999554443
3112024798930085120,1.887372,CEP,3.01052083052214
3113203642894208128,1.11035,CEP,3.9080368643916
3113441691460573312,1.786383,CEP,7.09838821018932
